champion_id,champion,primary_role,secondary_roles,champion_class,damage_profile,main_playstyle,strong_phase,scaling_level,engage_score,peel_score,mobility_score,cc_score,waveclear_score,objective_control_score,draft_value,notes
110,Rengar,Jungle,,fighter,AD,dive,early-mid,medium,6,6,7,5,7,10,counterpick,Rengar funciona principalmente como dive en Jungle.
111,Riven,Top,,assassin,AD,bruiser dive,mid,high,7,3,2,4,5,1,counterpick,Riven funciona principalmente como bruiser dive en Top.
112,Rumble,Top,,tank,AD,splitpush,mid-late,high,4,6,4,6,5,3,situational,Rumble funciona principalmente como splitpush en Top.
113,Ryze,Mid,,assassin,AP,control mage,mid-late,high,1,6,3,2,6,4,counterpick,Ryze funciona principalmente como control mage en Mid.
114,Samira,ADC,,marksman,AD,lane pressure,early,high,5,6,5,2,3,6,blindable,Samira funciona principalmente como lane pressure en ADC.
115,Sejuani,Jungle,,marksman,mixed,engage,mid,low,9,5,1,7,6,9,counterpick,Sejuani funciona principalmente como engage en Jungle.
116,Senna,ADC,Support,marksman,mixed,poke,mid,high,4,1,1,2,6,5,situational,Senna funciona principalmente como poke en ADC.
117,Seraphine,Support,,tank,utility,peel,mid-late,low,4,10,3,2,4,6,blindable,Seraphine funciona principalmente como peel en Support.
118,Sett,Top,,support,AD,bruiser dive,mid,low,2,3,4,7,1,7,high priority,Sett funciona principalmente como bruiser dive en Top.
119,Shaco,Jungle,,tank,mixed,objective control,mid,high,7,3,3,9,6,10,high priority,Shaco funciona principalmente como objective control en Jungle.
120,Shen,Top,,marksman,AD,bruiser dive,mid,low,1,5,5,1,2,2,situational,Shen funciona principalmente como bruiser dive en Top.
121,Shyvana,Jungle,,mage,AD,dive,early-mid,high,8,2,6,2,4,7,situational,Shyvana funciona principalmente como dive en Jungle.
122,Singed,Top,,tank,AD,side lane pressure,mid,high,5,3,10,5,4,6,situational,Singed funciona principalmente como side lane pressure en Top.
123,Sion,Top,,tank,mixed,engage,mid,low,10,3,1,10,7,2,situational,Sion funciona principalmente como engage en Top.
124,Sivir,ADC,,marksman,AD,hypercarry,late,high,6,5,2,4,4,6,high priority,Sivir funciona principalmente como hypercarry en ADC.
125,Skarner,Jungle,,support,mixed,tempo,early-mid,high,1,5,5,3,5,8,high priority,Skarner funciona principalmente como tempo en Jungle.
126,Smolder,ADC,,marksman,AD,hypercarry,late,high,6,5,7,5,3,7,situational,Smolder funciona principalmente como hypercarry en ADC.
127,Sona,Support,,tank,utility,disengage,mid-late,low,1,9,5,4,4,5,situational,Sona funciona principalmente como disengage en Support.
128,Soraka,Support,,mage,utility,peel,mid-late,medium,3,6,1,2,2,2,high priority,Soraka funciona principalmente como peel en Support.
129,Swain,Mid,Support,tank,mixed,poke,mid,low,4,5,2,3,6,5,blindable,Swain funciona principalmente como poke en Mid.
130,Sylas,Mid,,fighter,AP,control mage,mid-late,medium,1,4,5,3,10,6,blindable,Sylas funciona principalmente como control mage en Mid.
131,Syndra,Mid,,mage,mixed,roaming tempo,early-mid,medium,1,1,6,7,8,6,counterpick,Syndra funciona principalmente como roaming tempo en Mid.
132,TahmKench,Top,,assassin,AD,bruiser dive,mid,low,6,1,7,7,2,7,high priority,TahmKench funciona principalmente como bruiser dive en Top.
133,Taliyah,Jungle,Mid,support,mixed,roaming tempo,early-mid,low,1,3,7,2,4,9,blindable,Taliyah funciona principalmente como roaming tempo en Jungle.
134,Talon,Jungle,Mid,tank,mixed,engage,mid,low,6,6,4,9,1,9,high priority,Talon funciona principalmente como engage en Jungle.
135,Taric,Support,,tank,mixed,engage,mid,medium,6,6,4,7,4,6,blindable,Taric funciona principalmente como engage en Support.
136,Teemo,Top,,assassin,mixed,engage,mid,high,7,4,1,8,2,1,counterpick,Teemo funciona principalmente como engage en Top.
137,Thresh,Support,,mage,mixed,pick composition,mid,medium,7,9,7,1,6,2,situational,Thresh funciona principalmente como pick composition en Support.
138,Tristana,Mid,ADC,tank,AD,lane pressure,early,low,5,5,3,3,9,7,situational,Tristana funciona principalmente como lane pressure en Mid.
139,Trundle,Top,,assassin,mixed,front-to-back,late,high,2,5,4,3,1,5,situational,Trundle funciona principalmente como front-to-back en Top.
140,Tryndamere,Top,,tank,AD,side lane pressure,mid,medium,6,3,7,6,7,6,high priority,Tryndamere funciona principalmente como side lane pressure en Top.
141,TwistedFate,Mid,,marksman,mixed,pick composition,mid,medium,3,3,1,7,10,2,blindable,TwistedFate funciona principalmente como pick composition en Mid.
142,Twitch,ADC,,marksman,AD,hypercarry,late,high,5,3,6,3,6,6,blindable,Twitch funciona principalmente como hypercarry en ADC.
143,Udyr,Jungle,,tank,mixed,objective control,mid,medium,5,4,5,9,6,6,situational,Udyr funciona principalmente como objective control en Jungle.
144,Urgot,Top,,assassin,AD,bruiser dive,mid,high,3,5,4,3,1,7,situational,Urgot funciona principalmente como bruiser dive en Top.
145,Varus,ADC,,marksman,mixed,scaling,late,high,3,3,7,4,1,3,high priority,Varus funciona principalmente como scaling en ADC.
146,Vayne,Top,ADC,fighter,AD,bruiser dive,mid,low,7,6,3,5,5,7,blindable,Vayne funciona principalmente como bruiser dive en Top.
147,Veigar,Mid,,marksman,AP,control mage,mid-late,medium,4,3,7,6,8,1,counterpick,Veigar funciona principalmente como control mage en Mid.
148,VelKoz,Mid,,fighter,mixed,pick composition,mid,low,2,1,6,3,10,5,high priority,VelKoz funciona principalmente como pick composition en Mid.
149,Vex,Mid,,assassin,AP,control mage,mid-late,high,5,6,5,1,8,2,blindable,Vex funciona principalmente como control mage en Mid.
150,Vi,Jungle,,mage,AD,dive,early-mid,high,6,1,6,5,7,9,blindable,Vi funciona principalmente como dive en Jungle.
151,Viego,Jungle,,tank,AD,early gank,early,high,1,3,4,3,5,9,counterpick,Viego funciona principalmente como early gank en Jungle.
152,Viktor,Mid,,tank,AP,control mage,mid-late,low,3,6,5,2,10,4,blindable,Viktor funciona principalmente como control mage en Mid.
153,Vladimir,Top,Mid,tank,AD,splitpush,mid-late,medium,7,4,4,6,6,2,blindable,Vladimir funciona principalmente como splitpush en Top.
154,Volibear,Top,,fighter,mixed,engage,mid,medium,7,3,6,9,5,5,counterpick,Volibear funciona principalmente como engage en Top.
155,Warwick,Jungle,,marksman,AD,early gank,early,high,3,1,1,2,4,9,blindable,Warwick funciona principalmente como early gank en Jungle.
156,Wukong,Jungle,,tank,mixed,engage,mid,low,8,5,6,6,3,10,counterpick,Wukong funciona principalmente como engage en Jungle.
157,Xayah,ADC,,marksman,AD,hypercarry,late,high,3,1,3,5,5,1,blindable,Xayah funciona principalmente como hypercarry en ADC.
158,Xerath,Mid,,tank,mixed,pick composition,mid,medium,7,2,2,2,7,5,situational,Xerath funciona principalmente como pick composition en Mid.
159,XinZhao,Jungle,,tank,mixed,tempo,early-mid,high,6,4,3,2,2,7,situational,XinZhao funciona principalmente como tempo en Jungle.
160,Yasuo,Top,Mid,fighter,AD,bruiser dive,mid,high,2,5,3,7,7,5,blindable,Yasuo funciona principalmente como bruiser dive en Top.
161,Yone,Top,Mid,marksman,AD,side lane pressure,mid,high,3,4,6,3,2,3,high priority,Yone funciona principalmente como side lane pressure en Top.
162,Yorick,Top,,assassin,AD,bruiser dive,mid,low,3,1,3,6,7,4,blindable,Yorick funciona principalmente como bruiser dive en Top.
163,Yuumi,Support,,tank,utility,utility,mid,medium,2,6,1,8,7,4,blindable,Yuumi funciona principalmente como utility en Support.
164,Zac,Jungle,,assassin,AD,early gank,early,high,1,1,3,2,1,8,blindable,Zac funciona principalmente como early gank en Jungle.
165,Zed,Mid,,tank,mixed,scaling,late,high,7,4,6,3,10,6,counterpick,Zed funciona principalmente como scaling en Mid.
166,Zeri,ADC,,marksman,mixed,front-to-back,late,high,5,6,4,6,4,6,high priority,Zeri funciona principalmente como front-to-back en ADC.
167,Ziggs,Mid,ADC,assassin,AP,control mage,mid-late,medium,7,3,2,5,8,5,situational,Ziggs funciona principalmente como control mage en Mid.
168,Zilean,Support,,mage,utility,utility,mid,high,6,6,4,9,6,1,blindable,Zilean funciona principalmente como utility en Support.
169,Zoe,Mid,,mage,mixed,roaming tempo,early-mid,medium,4,1,8,1,8,1,counterpick,Zoe funciona principalmente como roaming tempo en Mid.
170,Zyra,Support,,support,utility,utility,mid,low,3,7,4,6,1,1,high priority,Zyra funciona principalmente como utility en Support.
