champion,relation_type,rank,related_champion,estimated_winrate_vs_champion,estimated_delta,matchup_reason,source_type
Anivia,favored_against,2,Neeko,54.32,3.5,su kit responde bien al patrón rival,heuristic_extended
Anivia,favored_against,3,Akali,53.48,5.82,controla mejor los intercambios,heuristic_extended
Annie,countered_by,1,Yasuo,44.48,-3.9,supera la fase de línea,heuristic_extended
Annie,countered_by,2,Kassadin,43.92,-7.1,escala mejor y fuerza peleas favorables,heuristic_extended
Annie,countered_by,3,Ziggs,48.51,-7.7,castiga engages o dashes,heuristic_extended
Annie,favored_against,1,Corki,56.48,4.07,gana prioridad para objetivos,heuristic_extended
Annie,favored_against,2,Katarina,55.95,4.28,tiene mejor escalado en la composición,heuristic_extended
Annie,favored_against,3,Taliyah,53.86,6.96,su kit responde bien al patrón rival,heuristic_extended
Aphelios,countered_by,1,Draven,43.37,-3.55,castiga engages o dashes,curated_core
Aphelios,countered_by,2,Caitlyn,44.72,-7.48,castiga engages o dashes,curated_core
Aphelios,countered_by,3,Twitch,48.67,-5.82,tiene mejor rango y control de oleada,curated_core
Aphelios,favored_against,1,KaiSa,55.55,3.53,gana prioridad para objetivos,curated_core
Aphelios,favored_against,2,Sivir,57.74,4.55,puede abusar la fase temprana,curated_core
Aphelios,favored_against,3,Xayah,55.07,7.35,gana prioridad para objetivos,curated_core
Ashe,countered_by,1,KaiSa,46.21,-7.42,niega el plan principal del campeón,heuristic_extended
Ashe,countered_by,2,Jinx,46.59,-4.56,tiene mejor rango y control de oleada,heuristic_extended
Ashe,countered_by,3,Zeri,44.88,-5.21,supera la fase de línea,heuristic_extended
Ashe,favored_against,1,KogMaw,54.81,2.6,tiene mejor escalado en la composición,heuristic_extended
Ashe,favored_against,2,Vayne,53.41,2.99,gana prioridad para objetivos,heuristic_extended
Ashe,favored_against,3,Nunu,54.86,7.35,controla mejor los intercambios,heuristic_extended
AurelionSol,countered_by,1,Neeko,46.59,-5.58,escala mejor y fuerza peleas favorables,heuristic_extended
AurelionSol,countered_by,2,Lux,47.09,-4.72,castiga engages o dashes,heuristic_extended
AurelionSol,countered_by,3,Talon,48.0,-3.12,castiga engages o dashes,heuristic_extended
AurelionSol,favored_against,1,Anivia,55.13,4.0,su kit responde bien al patrón rival,heuristic_extended
AurelionSol,favored_against,2,VelKoz,52.26,4.11,su kit responde bien al patrón rival,heuristic_extended
AurelionSol,favored_against,3,Kassadin,56.64,6.78,puede abusar la fase temprana,heuristic_extended
Aurora,countered_by,1,Zed,44.36,-3.58,niega el plan principal del campeón,heuristic_extended
Aurora,countered_by,2,AurelionSol,46.82,-3.15,castiga engages o dashes,heuristic_extended
Aurora,countered_by,3,Tristana,44.13,-5.32,escala mejor y fuerza peleas favorables,heuristic_extended
Aurora,favored_against,1,Ahri,51.35,4.79,controla mejor los intercambios,heuristic_extended
Aurora,favored_against,2,Ekko,55.64,4.31,su kit responde bien al patrón rival,heuristic_extended
Aurora,favored_against,3,Akali,55.57,6.17,tiene mejor escalado en la composición,heuristic_extended
Azir,countered_by,1,Xerath,47.13,-2.71,supera la fase de línea,curated_core
Azir,countered_by,2,Syndra,46.92,-3.43,escala mejor y fuerza peleas favorables,curated_core
Azir,countered_by,3,Akali,45.88,-2.66,tiene mejor rango y control de oleada,curated_core
Azir,favored_against,1,Orianna,53.84,3.54,controla mejor los intercambios,curated_core
Azir,favored_against,2,Viktor,56.82,6.51,tiene mejor escalado en la composición,curated_core
Azir,favored_against,3,Ryze,57.12,3.25,tiene mejor escalado en la composición,curated_core
Bard,countered_by,1,Janna,45.94,-4.47,escala mejor y fuerza peleas favorables,heuristic_extended
Bard,countered_by,2,Sona,44.67,-3.73,escala mejor y fuerza peleas favorables,heuristic_extended
Bard,countered_by,3,Maokai,47.43,-6.76,escala mejor y fuerza peleas favorables,heuristic_extended
Bard,favored_against,1,RenataGlasc,55.9,6.82,su kit responde bien al patrón rival,heuristic_extended
Bard,favored_against,2,Blitzcrank,57.57,7.46,puede abusar la fase temprana,heuristic_extended
Bard,favored_against,3,Taric,54.06,4.77,controla mejor los intercambios,heuristic_extended
BelVeth,countered_by,1,Skarner,44.42,-3.18,tiene mejor rango y control de oleada,heuristic_extended
BelVeth,countered_by,2,Nunu,47.37,-4.42,castiga engages o dashes,heuristic_extended
BelVeth,countered_by,3,Viego,48.57,-3.14,niega el plan principal del campeón,heuristic_extended
BelVeth,favored_against,1,Evelynn,55.47,2.82,su kit responde bien al patrón rival,heuristic_extended
BelVeth,favored_against,2,Poppy,55.09,6.5,gana prioridad para objetivos,heuristic_extended
BelVeth,favored_against,3,Rengar,57.59,7.21,puede abusar la fase temprana,heuristic_extended
Blitzcrank,countered_by,1,Karma,44.65,-3.52,castiga engages o dashes,heuristic_extended
Blitzcrank,countered_by,2,Bard,43.95,-6.52,niega el plan principal del campeón,heuristic_extended
Blitzcrank,countered_by,3,Seraphine,46.93,-3.41,escala mejor y fuerza peleas favorables,heuristic_extended
Blitzcrank,favored_against,1,Yuumi,52.5,7.04,tiene mejor escalado en la composición,heuristic_extended
Blitzcrank,favored_against,2,Neeko,56.62,2.95,tiene mejor escalado en la composición,heuristic_extended
Blitzcrank,favored_against,3,RenataGlasc,53.48,4.41,puede abusar la fase temprana,heuristic_extended
Brand,countered_by,1,Naafiri,46.29,-3.49,supera la fase de línea,heuristic_extended
Brand,countered_by,2,Azir,47.71,-4.52,niega el plan principal del campeón,heuristic_extended
Brand,countered_by,3,AurelionSol,46.09,-6.75,tiene mejor rango y control de oleada,heuristic_extended
Brand,favored_against,1,Viktor,55.12,6.67,gana prioridad para objetivos,heuristic_extended
Brand,favored_against,2,Swain,54.27,3.3,controla mejor los intercambios,heuristic_extended
Brand,favored_against,3,Lux,55.94,6.66,gana prioridad para objetivos,heuristic_extended
Braum,countered_by,1,Neeko,43.87,-4.99,supera la fase de línea,heuristic_extended
Braum,countered_by,2,RenataGlasc,43.25,-3.16,escala mejor y fuerza peleas favorables,heuristic_extended
Braum,countered_by,3,Janna,47.69,-6.11,tiene mejor rango y control de oleada,heuristic_extended
Braum,favored_against,1,Swain,57.55,2.66,su kit responde bien al patrón rival,heuristic_extended
Braum,favored_against,2,Morgana,56.2,3.36,controla mejor los intercambios,heuristic_extended
Braum,favored_against,3,Zilean,54.38,2.48,su kit responde bien al patrón rival,heuristic_extended
Briar,countered_by,1,Gragas,45.12,-3.93,castiga engages o dashes,heuristic_extended
Briar,countered_by,2,Maokai,45.82,-5.8,escala mejor y fuerza peleas favorables,heuristic_extended
Briar,countered_by,3,Diana,46.89,-7.52,tiene mejor rango y control de oleada,heuristic_extended
Briar,favored_against,1,Taliyah,54.12,2.43,gana prioridad para objetivos,heuristic_extended
Briar,favored_against,2,Rengar,56.62,2.58,puede abusar la fase temprana,heuristic_extended
Briar,favored_against,3,Hecarim,55.87,4.63,gana prioridad para objetivos,heuristic_extended
Caitlyn,countered_by,1,Ezreal,43.68,-4.29,escala mejor y fuerza peleas favorables,heuristic_extended
Caitlyn,countered_by,2,Lucian,48.06,-2.45,supera la fase de línea,heuristic_extended
Caitlyn,countered_by,3,Kalista,44.72,-7.79,niega el plan principal del campeón,heuristic_extended
Caitlyn,favored_against,1,Aphelios,53.33,4.49,puede abusar la fase temprana,heuristic_extended
Caitlyn,favored_against,2,Senna,54.83,4.7,tiene mejor escalado en la composición,heuristic_extended
Caitlyn,favored_against,3,Varus,55.0,5.58,puede abusar la fase temprana,heuristic_extended
Camille,countered_by,1,Jax,45.46,-6.02,niega el plan principal del campeón,curated_core
Camille,countered_by,2,Fiora,46.01,-3.34,castiga engages o dashes,curated_core
Camille,countered_by,3,Poppy,47.37,-5.8,niega el plan principal del campeón,curated_core
Camille,favored_against,1,Sion,56.3,7.52,gana prioridad para objetivos,curated_core
Camille,favored_against,2,Garen,56.44,6.11,tiene mejor escalado en la composición,curated_core
Camille,favored_against,3,DrMundo,51.96,3.61,tiene mejor escalado en la composición,curated_core
Cassiopeia,countered_by,1,Irelia,45.17,-5.82,castiga engages o dashes,heuristic_extended
Cassiopeia,countered_by,2,Anivia,47.92,-3.08,niega el plan principal del campeón,heuristic_extended
Cassiopeia,countered_by,3,Xerath,43.6,-7.38,tiene mejor rango y control de oleada,heuristic_extended
Cassiopeia,favored_against,1,Yasuo,57.01,4.02,tiene mejor escalado en la composición,heuristic_extended
Cassiopeia,favored_against,2,Neeko,55.8,4.44,gana prioridad para objetivos,heuristic_extended
Cassiopeia,favored_against,3,Quinn,53.16,6.81,controla mejor los intercambios,heuristic_extended
ChoGath,countered_by,1,Volibear,43.87,-2.57,castiga engages o dashes,heuristic_extended
ChoGath,countered_by,2,Renekton,45.16,-3.4,tiene mejor rango y control de oleada,heuristic_extended
ChoGath,countered_by,3,Malphite,47.15,-4.6,niega el plan principal del campeón,heuristic_extended
ChoGath,favored_against,1,Riven,57.21,3.17,gana prioridad para objetivos,heuristic_extended
ChoGath,favored_against,2,Kled,54.18,2.94,controla mejor los intercambios,heuristic_extended
ChoGath,favored_against,3,Maokai,54.73,5.18,controla mejor los intercambios,heuristic_extended
Corki,countered_by,1,Neeko,45.5,-5.78,escala mejor y fuerza peleas favorables,heuristic_extended
Corki,countered_by,2,Akali,48.37,-3.47,castiga engages o dashes,heuristic_extended
Corki,countered_by,3,Azir,43.28,-5.98,tiene mejor rango y control de oleada,heuristic_extended
Corki,favored_against,1,Ryze,57.08,3.5,su kit responde bien al patrón rival,heuristic_extended
Corki,favored_against,2,Katarina,54.9,4.53,puede abusar la fase temprana,heuristic_extended
Corki,favored_against,3,Yasuo,51.64,6.52,tiene mejor escalado en la composición,heuristic_extended
Darius,countered_by,1,KSante,45.33,-7.23,castiga engages o dashes,heuristic_extended
Darius,countered_by,2,Garen,46.97,-7.2,supera la fase de línea,heuristic_extended
Darius,countered_by,3,Teemo,47.5,-5.93,niega el plan principal del campeón,heuristic_extended
Darius,favored_against,1,Vayne,56.76,4.49,su kit responde bien al patrón rival,heuristic_extended
Darius,favored_against,2,Shen,52.99,6.01,su kit responde bien al patrón rival,heuristic_extended
Darius,favored_against,3,Irelia,53.46,6.11,gana prioridad para objetivos,heuristic_extended
Diana,countered_by,1,Ivern,45.82,-3.37,tiene mejor rango y control de oleada,heuristic_extended
Diana,countered_by,2,Nunu,43.99,-2.81,supera la fase de línea,heuristic_extended
Diana,countered_by,3,RekSai,47.42,-3.7,tiene mejor rango y control de oleada,heuristic_extended
Diana,favored_against,1,Amumu,55.08,4.27,puede abusar la fase temprana,heuristic_extended
Diana,favored_against,2,LeeSin,51.93,5.78,puede abusar la fase temprana,heuristic_extended
Diana,favored_against,3,BelVeth,56.64,6.59,tiene mejor escalado en la composición,heuristic_extended
DrMundo,countered_by,1,Riven,47.21,-5.59,castiga engages o dashes,heuristic_extended
DrMundo,countered_by,2,Renekton,45.12,-7.38,niega el plan principal del campeón,heuristic_extended
DrMundo,countered_by,3,Jayce,43.25,-2.53,niega el plan principal del campeón,heuristic_extended
DrMundo,favored_against,1,Yone,53.76,5.83,puede abusar la fase temprana,heuristic_extended
DrMundo,favored_against,2,Jax,51.59,5.05,su kit responde bien al patrón rival,heuristic_extended
DrMundo,favored_against,3,Rakan,56.19,6.23,tiene mejor escalado en la composición,heuristic_extended
Draven,countered_by,1,Ashe,48.19,-4.29,castiga engages o dashes,heuristic_extended
Draven,countered_by,2,Smolder,46.91,-5.51,supera la fase de línea,heuristic_extended
Draven,countered_by,3,Lucian,47.94,-2.77,niega el plan principal del campeón,heuristic_extended
Draven,favored_against,1,Jinx,54.25,6.58,tiene mejor escalado en la composición,heuristic_extended
Draven,favored_against,2,Varus,57.29,5.38,controla mejor los intercambios,heuristic_extended
Draven,favored_against,3,Janna,56.71,3.34,gana prioridad para objetivos,heuristic_extended
Ekko,countered_by,1,Taliyah,43.93,-3.5,escala mejor y fuerza peleas favorables,heuristic_extended
Ekko,countered_by,2,JarvanIV,45.58,-6.54,escala mejor y fuerza peleas favorables,heuristic_extended
Ekko,countered_by,3,Amumu,46.1,-4.58,tiene mejor rango y control de oleada,heuristic_extended
Ekko,favored_against,1,Nidalee,57.64,7.53,tiene mejor escalado en la composición,heuristic_extended
Ekko,favored_against,2,Kindred,51.66,6.25,gana prioridad para objetivos,heuristic_extended
Ekko,favored_against,3,BelVeth,54.23,3.06,puede abusar la fase temprana,heuristic_extended
Elise,countered_by,1,Briar,43.67,-6.93,castiga engages o dashes,heuristic_extended
Elise,countered_by,2,Diana,44.81,-4.56,escala mejor y fuerza peleas favorables,heuristic_extended
Elise,countered_by,3,Maokai,47.03,-6.27,supera la fase de línea,heuristic_extended
Elise,favored_against,1,XinZhao,54.22,2.68,gana prioridad para objetivos,heuristic_extended
Elise,favored_against,2,Shaco,57.29,3.66,controla mejor los intercambios,heuristic_extended
Elise,favored_against,3,Ekko,56.98,3.69,su kit responde bien al patrón rival,heuristic_extended
Evelynn,countered_by,1,Wukong,45.85,-4.52,supera la fase de línea,heuristic_extended
Evelynn,countered_by,2,Kindred,43.81,-7.47,supera la fase de línea,heuristic_extended
Evelynn,countered_by,3,Warwick,46.39,-7.04,tiene mejor rango y control de oleada,heuristic_extended
Evelynn,favored_against,1,MasterYi,52.42,2.58,puede abusar la fase temprana,heuristic_extended
Evelynn,favored_against,2,Viego,54.65,3.16,gana prioridad para objetivos,heuristic_extended
Evelynn,favored_against,3,Maokai,56.35,5.76,su kit responde bien al patrón rival,heuristic_extended
Ezreal,countered_by,1,Nilah,47.76,-3.82,niega el plan principal del campeón,heuristic_extended
Ezreal,countered_by,2,Samira,44.6,-3.74,supera la fase de línea,heuristic_extended
Ezreal,countered_by,3,Caitlyn,48.41,-3.9,escala mejor y fuerza peleas favorables,heuristic_extended
Ezreal,favored_against,1,Ziggs,54.37,3.17,puede abusar la fase temprana,heuristic_extended
Ezreal,favored_against,2,MissFortune,51.7,2.67,gana prioridad para objetivos,heuristic_extended
Ezreal,favored_against,3,Kalista,52.34,4.87,puede abusar la fase temprana,heuristic_extended
Fiddlesticks,countered_by,1,MasterYi,43.48,-5.94,niega el plan principal del campeón,heuristic_extended
Fiddlesticks,countered_by,2,Shyvana,46.67,-3.47,supera la fase de línea,heuristic_extended
Fiddlesticks,countered_by,3,Udyr,46.45,-4.6,castiga engages o dashes,heuristic_extended
Fiddlesticks,favored_against,1,Nunu,54.68,7.11,su kit responde bien al patrón rival,heuristic_extended
Fiddlesticks,favored_against,2,JarvanIV,51.86,4.37,tiene mejor escalado en la composición,heuristic_extended
Fiddlesticks,favored_against,3,Ivern,53.52,6.77,puede abusar la fase temprana,heuristic_extended
Fiora,countered_by,1,Malphite,44.58,-6.25,tiene mejor rango y control de oleada,curated_core
Fiora,countered_by,2,Poppy,45.81,-5.5,supera la fase de línea,curated_core
Fiora,countered_by,3,Quinn,44.68,-7.16,castiga engages o dashes,curated_core
Fiora,favored_against,1,Aatrox,54.93,3.34,tiene mejor escalado en la composición,curated_core
Fiora,favored_against,2,Camille,55.78,2.33,tiene mejor escalado en la composición,curated_core
Fiora,favored_against,3,Sion,56.65,6.77,su kit responde bien al patrón rival,curated_core
Fizz,countered_by,1,Azir,46.09,-6.15,escala mejor y fuerza peleas favorables,heuristic_extended
Fizz,countered_by,2,Akshan,45.37,-2.72,tiene mejor rango y control de oleada,heuristic_extended
Fizz,countered_by,3,Taliyah,44.61,-5.54,escala mejor y fuerza peleas favorables,heuristic_extended
Fizz,favored_against,1,Cassiopeia,54.7,2.48,controla mejor los intercambios,heuristic_extended
Fizz,favored_against,2,Galio,53.31,4.9,tiene mejor escalado en la composición,heuristic_extended
Fizz,favored_against,3,Ryze,53.06,7.59,gana prioridad para objetivos,heuristic_extended
Galio,countered_by,1,Cassiopeia,45.46,-7.09,niega el plan principal del campeón,heuristic_extended
Galio,countered_by,2,VelKoz,45.6,-6.45,supera la fase de línea,heuristic_extended
Galio,countered_by,3,Yone,48.54,-5.64,escala mejor y fuerza peleas favorables,heuristic_extended
Galio,favored_against,1,Corki,53.69,2.56,tiene mejor escalado en la composición,heuristic_extended
Galio,favored_against,2,Vex,53.55,3.31,gana prioridad para objetivos,heuristic_extended
Galio,favored_against,3,Nidalee,53.09,5.85,puede abusar la fase temprana,heuristic_extended
Gangplank,countered_by,1,Aatrox,45.51,-7.18,tiene mejor rango y control de oleada,heuristic_extended
Gangplank,countered_by,2,TahmKench,45.9,-3.65,castiga engages o dashes,heuristic_extended
Gangplank,countered_by,3,Illaoi,43.27,-6.54,escala mejor y fuerza peleas favorables,heuristic_extended
Gangplank,favored_against,1,ChoGath,56.59,5.59,controla mejor los intercambios,heuristic_extended
Gangplank,favored_against,2,Kayle,52.41,5.62,su kit responde bien al patrón rival,heuristic_extended
Gangplank,favored_against,3,Ornn,52.63,7.33,gana prioridad para objetivos,heuristic_extended
Garen,countered_by,1,Jax,43.4,-4.68,castiga engages o dashes,heuristic_extended
Garen,countered_by,2,Irelia,46.92,-6.78,castiga engages o dashes,heuristic_extended
Garen,countered_by,3,DrMundo,46.55,-2.75,supera la fase de línea,heuristic_extended
Garen,favored_against,1,Shen,56.75,5.68,tiene mejor escalado en la composición,heuristic_extended
Garen,favored_against,2,Urgot,55.91,4.91,su kit responde bien al patrón rival,heuristic_extended
Garen,favored_against,3,Aatrox,56.26,6.28,tiene mejor escalado en la composición,heuristic_extended
Gnar,countered_by,1,TahmKench,46.54,-6.56,escala mejor y fuerza peleas favorables,heuristic_extended
Gnar,countered_by,2,Shen,47.7,-3.09,niega el plan principal del campeón,heuristic_extended
Gnar,countered_by,3,Volibear,47.21,-3.9,niega el plan principal del campeón,heuristic_extended
Gnar,favored_against,1,Ornn,51.69,3.87,gana prioridad para objetivos,heuristic_extended
Gnar,favored_against,2,Rumble,57.14,6.51,tiene mejor escalado en la composición,heuristic_extended
Gnar,favored_against,3,Yone,54.08,3.76,puede abusar la fase temprana,heuristic_extended
Gragas,countered_by,1,Ekko,46.38,-6.72,tiene mejor rango y control de oleada,heuristic_extended
Gragas,countered_by,2,Viego,47.13,-5.68,niega el plan principal del campeón,heuristic_extended
Gragas,countered_by,3,Karthus,43.53,-2.9,supera la fase de línea,heuristic_extended
Gragas,favored_against,1,Nidalee,51.31,5.17,su kit responde bien al patrón rival,heuristic_extended
Gragas,favored_against,2,Rengar,54.6,4.35,tiene mejor escalado en la composición,heuristic_extended
Gragas,favored_against,3,Warwick,54.84,3.94,controla mejor los intercambios,heuristic_extended
Graves,countered_by,1,Fiddlesticks,43.81,-6.82,tiene mejor rango y control de oleada,heuristic_extended
Graves,countered_by,2,Viego,44.24,-6.64,niega el plan principal del campeón,heuristic_extended
Graves,countered_by,3,Vi,47.67,-6.84,supera la fase de línea,heuristic_extended
Graves,favored_against,1,Zac,56.47,5.84,tiene mejor escalado en la composición,heuristic_extended
Graves,favored_against,2,Wukong,56.79,5.3,su kit responde bien al patrón rival,heuristic_extended
Graves,favored_against,3,Shaco,53.12,5.21,puede abusar la fase temprana,heuristic_extended
Gwen,countered_by,1,Ambessa,43.47,-7.14,escala mejor y fuerza peleas favorables,heuristic_extended
Gwen,countered_by,2,Singed,47.16,-7.1,tiene mejor rango y control de oleada,heuristic_extended
Gwen,countered_by,3,Riven,47.94,-4.72,supera la fase de línea,heuristic_extended
Gwen,favored_against,1,Kled,51.61,4.74,su kit responde bien al patrón rival,heuristic_extended
Gwen,favored_against,2,Quinn,54.65,5.64,puede abusar la fase temprana,heuristic_extended
Gwen,favored_against,3,Vayne,57.68,5.88,controla mejor los intercambios,heuristic_extended
Hecarim,countered_by,1,Shaco,45.32,-5.26,tiene mejor rango y control de oleada,heuristic_extended
Hecarim,countered_by,2,Elise,47.68,-2.88,supera la fase de línea,heuristic_extended
Hecarim,countered_by,3,Maokai,48.08,-7.55,tiene mejor rango y control de oleada,heuristic_extended
Hecarim,favored_against,1,Fiddlesticks,52.21,7.35,su kit responde bien al patrón rival,heuristic_extended
Hecarim,favored_against,2,MasterYi,54.53,7.13,su kit responde bien al patrón rival,heuristic_extended
Hecarim,favored_against,3,Rammus,56.83,2.33,puede abusar la fase temprana,heuristic_extended
Heimerdinger,countered_by,1,AurelionSol,47.9,-5.21,supera la fase de línea,heuristic_extended
Heimerdinger,countered_by,2,Akshan,45.61,-5.43,tiene mejor rango y control de oleada,heuristic_extended
Heimerdinger,countered_by,3,Aurora,48.14,-5.04,castiga engages o dashes,heuristic_extended
Heimerdinger,favored_against,1,Xerath,56.54,2.42,tiene mejor escalado en la composición,heuristic_extended
Heimerdinger,favored_against,2,Yasuo,53.85,3.31,puede abusar la fase temprana,heuristic_extended
Heimerdinger,favored_against,3,Lux,55.41,4.37,controla mejor los intercambios,heuristic_extended
Hwei,countered_by,1,Ekko,44.92,-2.45,escala mejor y fuerza peleas favorables,heuristic_extended
Hwei,countered_by,2,VelKoz,45.06,-3.51,escala mejor y fuerza peleas favorables,heuristic_extended
Hwei,countered_by,3,Yone,47.14,-4.47,escala mejor y fuerza peleas favorables,heuristic_extended
Hwei,favored_against,1,Yasuo,56.61,6.66,puede abusar la fase temprana,heuristic_extended
Hwei,favored_against,2,Xerath,53.42,4.77,su kit responde bien al patrón rival,heuristic_extended
Hwei,favored_against,3,Akali,56.57,6.0,puede abusar la fase temprana,heuristic_extended
Illaoi,countered_by,1,Vladimir,47.87,-2.62,escala mejor y fuerza peleas favorables,heuristic_extended
Illaoi,countered_by,2,Quinn,43.39,-3.69,supera la fase de línea,heuristic_extended
Illaoi,countered_by,3,Fiora,45.27,-4.72,escala mejor y fuerza peleas favorables,heuristic_extended
Illaoi,favored_against,1,Riven,52.31,5.78,puede abusar la fase temprana,heuristic_extended
Illaoi,favored_against,2,Irelia,52.83,6.03,gana prioridad para objetivos,heuristic_extended
Illaoi,favored_against,3,Gwen,55.21,5.02,tiene mejor escalado en la composición,heuristic_extended
Irelia,countered_by,1,Volibear,46.7,-5.4,escala mejor y fuerza peleas favorables,heuristic_extended
Irelia,countered_by,2,Kennen,46.76,-5.82,tiene mejor rango y control de oleada,heuristic_extended
Irelia,countered_by,3,Malphite,47.47,-6.88,supera la fase de línea,heuristic_extended
Irelia,favored_against,1,Yone,55.83,6.08,tiene mejor escalado en la composición,heuristic_extended
Irelia,favored_against,2,Teemo,56.06,4.47,controla mejor los intercambios,heuristic_extended
Irelia,favored_against,3,KSante,56.18,5.51,su kit responde bien al patrón rival,heuristic_extended
Ivern,countered_by,1,Evelynn,44.93,-3.29,supera la fase de línea,heuristic_extended
Ivern,countered_by,2,Shyvana,48.66,-6.01,escala mejor y fuerza peleas favorables,heuristic_extended
Ivern,countered_by,3,KhaZix,43.53,-5.53,escala mejor y fuerza peleas favorables,heuristic_extended
Ivern,favored_against,1,Nunu,56.93,5.7,puede abusar la fase temprana,heuristic_extended
Ivern,favored_against,2,Skarner,57.19,2.6,tiene mejor escalado en la composición,heuristic_extended
Ivern,favored_against,3,Diana,57.39,6.01,gana prioridad para objetivos,heuristic_extended
Janna,countered_by,1,Lux,44.54,-7.15,escala mejor y fuerza peleas favorables,heuristic_extended
Janna,countered_by,2,Maokai,46.76,-4.52,niega el plan principal del campeón,heuristic_extended
Janna,countered_by,3,Blitzcrank,44.0,-4.61,escala mejor y fuerza peleas favorables,heuristic_extended
Janna,favored_against,1,RenataGlasc,57.32,6.6,puede abusar la fase temprana,heuristic_extended
Janna,favored_against,2,Yuumi,53.03,5.84,controla mejor los intercambios,heuristic_extended
Janna,favored_against,3,Lulu,54.69,6.55,puede abusar la fase temprana,heuristic_extended
