scouting_id,ally_top,ally_jungle,ally_mid,ally_adc,ally_support,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_support,texto_entrada_nlp,strategy_label,main_phase,objective_focus,risk_level,execution_difficulty,dataset_version
18,Ornn,Gwen,Yasuo,Senna,Braum,Aurora,Caitlyn,KaiSa,Sivir,Darius,"El valor del draft aumenta con niveles y oro, por lo que conviene ceder presión menor si eso asegura una transición limpia. En la práctica, Ornn y Senna necesitan que Gwen controle los primeros movimientos contra Aurora y Darius. La prioridad debería girar alrededor de barón, alma o pelea tardía.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
19,Jayce,JarvanIV,Irelia,Twitch,KhaZix,Blitzcrank,Morgana,Viego,Aatrox,Cassiopeia,"El equipo debe desgastar desde distancia antes de iniciar, obligando al rival a entrar con poca vida a las zonas neutrales. En la práctica, Jayce y Twitch necesitan que JarvanIV controle los primeros movimientos contra Blitzcrank y Cassiopeia. La prioridad debería girar alrededor de torres y zonas neutrales.",poke composition,mid,torres y zonas neutrales,medio,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
20,Caitlyn,Karthus,Blitzcrank,Poppy,Sion,Naafiri,Zed,Morgana,Jayce,TwistedFate,"El draft aliado mezcla scaling, dive y engage, mientras el rival amenaza con roaming tempo y scaling. La composición necesita esperar cooldowns importantes y buscar una pelea agrupada donde varias habilidades impacten al mismo tiempo. La ejecución depende de rotaciones limpias.",wombo combo,mid,peleas agrupadas por dragón o barón,bajo,Depende de cooldowns definitivos.,V3_implicit_contextual
21,Draven,Kalista,BelVeth,RenataGlasc,Neeko,Yone,Bard,Rakan,Xayah,Wukong,"El equipo debe llegar antes a dragón o heraldo, colocar visión profunda y usar prioridad de líneas para controlar entradas. En la práctica, Draven y RenataGlasc necesitan que Kalista controle los primeros movimientos contra Yone y Wukong. La prioridad debería girar alrededor de dragones, heraldo y visión previa.",jugar a objetivos,mid,"dragones, heraldo y visión previa",alto,Necesita prioridad previa de líneas.,V3_implicit_contextual
22,Taric,Quinn,Lucian,KogMaw,Hecarim,Lulu,Varus,Camille,Nasus,Tryndamere,"Con una ejecución ordenada, con Taric, Quinn y Lucian frente a Lulu, Varus y Camille, El valor del draft aumenta con niveles y oro, por lo que conviene ceder presión menor si eso asegura una transición limpia. El foco debe estar en barón, alma o pelea tardía, cuidando control de cooldowns.",escalar late,late,"barón, alma o pelea tardía",medio,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
23,Shyvana,Rumble,Leona,Amumu,TahmKench,Vayne,Teemo,Qiyana,Corki,Anivia,"En este escenario, con Shyvana, Rumble y Leona frente a Vayne, Teemo y Qiyana, El equipo debe jugar alrededor del tirador principal, darle espacio y usar herramientas defensivas para mantenerlo vivo. El foco debe estar en peleas tardías con el carry protegido, cuidando frontline disponible.",protect hypercarry,late,peleas tardías con el carry protegido,alto,Vulnerable a dive y pick comp.,V3_implicit_contextual
24,Bard,Olaf,Soraka,Corki,RenataGlasc,Aatrox,Rumble,Qiyana,Lucian,Caitlyn,"El punto clave será que, con Bard, Olaf y Soraka frente a Aatrox, Rumble y Qiyana, La condición principal es preparar zonas neutrales con tiempo, empujar oleadas y obligar al rival a facecheckear. El foco debe estar en dragones, heraldo y visión previa, cuidando amenaza sobre carries.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
25,KogMaw,Poppy,Fizz,Neeko,Gangplank,Ahri,Naafiri,Thresh,TahmKench,Lillia,"El draft aliado mezcla pelea ordenada, utility y roaming tempo, mientras el rival amenaza con poke y roaming tempo. No se trata de esperar escalado, sino de encadenar jugadas rápidas antes de que el rival estabilice. La ejecución depende de río sin visión.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
26,Karthus,Quinn,TwistedFate,Ornn,Rakan,Vayne,Gwen,Ziggs,Jayce,Shyvana,"El draft aliado mezcla dive, side lane pressure y capturas previas, mientras el rival amenaza con bruiser dive y pelea ordenada. La ventaja aparece al administrar recursos del mapa, dividir presion y evitar peleas frontales innecesarias. La ejecución depende de setup de Nashor.",macro composition,mid-late,oleadas laterales y estructuras,medio,Menos directa en peleas 5v5.,V3_implicit_contextual
27,Aurora,Bard,Briar,Akshan,Caitlyn,Swain,Riven,Ekko,Jinx,Xerath,"El equipo puede decidir la partida si encuentra una entrada múltiple en espacios cerrados como río o jungla. En la práctica, Aurora y Akshan necesitan que Bard controle los primeros movimientos contra Swain y Xerath. La prioridad debería girar alrededor de peleas agrupadas por dragón o barón.",wombo combo,mid,peleas agrupadas por dragón o barón,alto,Depende de cooldowns definitivos.,V3_implicit_contextual
28,Renekton,Senna,Vayne,Zac,Nilah,Zed,TwistedFate,Ezreal,Nasus,Zyra,"Por la forma del draft, con Renekton, Senna y Vayne frente a Zed, TwistedFate y Ezreal, El equipo puede decidir la partida si encuentra una entrada múltiple en espacios cerrados como río o jungla. El foco debe estar en peleas agrupadas por dragón o barón, cuidando rotaciones limpias.",wombo combo,mid,peleas agrupadas por dragón o barón,medio,Depende de cooldowns definitivos.,V3_implicit_contextual
29,Lulu,Seraphine,Mordekaiser,Kennen,Vladimir,Kindred,Ornn,Ashe,Anivia,Rakan,"El draft necesita acelerar desde los primeros minutos, invadir con prioridad y castigar antes de que el rival complete objetos clave. En la práctica, Lulu y Kennen necesitan que Seraphine controle los primeros movimientos contra Kindred y Rakan. La prioridad debería girar alrededor de primer heraldo, placas y presion de río.",agresivo early,early,"primer heraldo, placas y presión de río",bajo,No extender partida sin ventaja.,V3_implicit_contextual
30,Senna,Qiyana,Briar,Brand,Maokai,Samira,Evelynn,Poppy,Soraka,Kassadin,"La lectura inicial indica que, con Senna, Qiyana y Briar frente a Samira, Evelynn y Poppy, La condición principal es preparar zonas neutrales con tiempo, empujar oleadas y obligar al rival a facecheckear. El foco debe estar en dragones, heraldo y visión previa, cuidando temporizadores de objetivos.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
31,Akshan,Kled,TwistedFate,Fiddlesticks,Riven,Vex,Maokai,Yuumi,Lucian,Nunu,"El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. En la práctica, Akshan y Fiddlesticks necesitan que Kled controle los primeros movimientos contra Vex y Nunu. La prioridad debería girar alrededor de heraldo, dives y rotaciones tempranas.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",medio,Pierde fuerza si no convierte presión.,V3_implicit_contextual
32,Camille,Renekton,Vladimir,Varus,Lulu,Braum,Tristana,Veigar,DrMundo,Viego,"Con una ejecución ordenada, con Camille, Renekton y Vladimir frente a Braum, Tristana y Veigar, El equipo debe llegar antes a dragón o heraldo, colocar visión profunda y usar prioridad de líneas para controlar entradas. El foco debe estar en dragones, heraldo y visión previa, cuidando flancos laterales.",jugar a objetivos,mid,"dragones, heraldo y visión previa",medio,Necesita prioridad previa de líneas.,V3_implicit_contextual
33,Gnar,Jax,Fiora,Aphelios,Garen,Nidalee,Annie,Taric,Olaf,Ziggs,"La lectura inicial indica que, con Gnar, Jax y Fiora frente a Nidalee, Annie y Taric, No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragón o Nashor. El foco debe estar en visión oscura antes de Nashor, cuidando ventanas de tempo.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
34,Zyra,Ashe,Lissandra,Xayah,Karma,Milio,VelKoz,Trundle,Lillia,Singed,"El draft necesita acelerar desde los primeros minutos, invadir con prioridad y castigar antes de que el rival complete objetos clave. En la práctica, Zyra y Xayah necesitan que Ashe controle los primeros movimientos contra Milio y Singed. La prioridad debería girar alrededor de primer heraldo, placas y presión de río.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
35,Poppy,Yone,Aphelios,Shyvana,MissFortune,Fiddlesticks,Bard,Nasus,Annie,Ziggs,"El punto clave será que, con Poppy, Yone y Aphelios frente a Fiddlesticks, Bard y Nasus, La condición de victoria aparece antes del minuto quince, especialmente si la jungla conecta con líneas fuertes. El foco debe estar en primer heraldo, placas y presión de río, cuidando flancos laterales.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
36,Renekton,Teemo,Nidalee,Udyr,Lulu,Corki,Kled,Veigar,Singed,Jayce,"La composición aliada se beneficia cuando, con Renekton, Teemo y Nidalee frente a Corki, Kled y Veigar, La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. El foco debe estar en visión oscura antes de Nashor, cuidando prioridad de oleadas.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
37,Ekko,Irelia,Nunu,Gragas,Akshan,RenataGlasc,Alistar,Evelynn,Rengar,Mel,"La condición principal es preparar zonas neutrales con tiempo, empujar oleadas y obligar al rival a facecheckear. En la práctica, Ekko y Gragas necesitan que Irelia controle los primeros movimientos contra RenataGlasc y Mel. La prioridad debería girar alrededor de dragones, heraldo y visión previa.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
38,Udyr,Garen,LeBlanc,Zac,Smolder,Ahri,Graves,Qiyana,Sona,TahmKench,"El punto clave será que, con Udyr, Garen y LeBlanc frente a Ahri, Graves y Qiyana, El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. El foco debe estar en heraldo, dives y rotaciones tempranas, cuidando amenaza sobre carries.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
39,Darius,Ahri,Diana,Kayle,Nocturne,Amumu,Evelynn,Sylas,Yuumi,Bard,"La composición necesita paciencia, evitar peleas innecesarias y llegar con suficientes objetos a los minutos decisivos. En la práctica, Darius y Kayle necesitan que Ahri controle los primeros movimientos contra Amumu y Bard. La prioridad debería girar alrededor de barón, alma o pelea tardía.",escalar late,late,"barón, alma o pelea tardía",bajo,Evitar peleas malas antes de dos objetos.,V3_implicit_contextual
40,MissFortune,Wukong,Poppy,Nocturne,Lillia,Zilean,Ziggs,Olaf,Anivia,XinZhao,"La composición tiene herramientas para pelear temprano, buscar escaramuzas en río y convertir prioridad de líneas en oro. En la práctica, MissFortune y Nocturne necesitan que Wukong controle los primeros movimientos contra Zilean y XinZhao. La prioridad debería girar alrededor de primer heraldo, placas y presión de río.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
41,Yuumi,Rammus,Akali,Corki,Sona,Rumble,Lulu,Cassiopeia,Gnar,Zilean,"El draft aliado mezcla utility, dive y control mage, mientras el rival amenaza con splitpush y disengage. La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. La ejecución depende de rotaciones limpias.",pick composition,mid,visión oscura antes de Nashor,medio,Requiere visión profunda.,V3_implicit_contextual
42,Zyra,Samira,Jayce,Taliyah,Poppy,Ekko,Fiddlesticks,Jax,Orianna,Sett,"Por la forma del draft, con Zyra, Samira y Jayce frente a Ekko, Fiddlesticks y Jax, La pelea se gana si los campeones móviles sincronizan control y daño sobre objetivos frágiles. El foco debe estar en torres exteriores y castigo sobre carries, cuidando front line disponible.",dive composition,early-mid,torres exteriores y castigo sobre carries,bajo,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
43,Yuumi,Akshan,Sivir,Zyra,Lissandra,Warwick,Taric,BelVeth,Shaco,Shen,"El draft aliado mezcla utility, scaling y hypercarry, mientras el rival amenaza con early gank y engage. La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. La ejecución depende de temporizadores de objetivos.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
44,Qiyana,Ambessa,Pantheon,Kennen,Malzahar,Vladimir,Mordekaiser,Katarina,Sylas,VelKoz,"Por la forma del draft, con Qiyana, Ambessa y Pantheon frente a Vladimir, Mordekaiser y Katarina, No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragón o Nashor. El foco debe estar en vision oscura antes de Nashor, cuidando prioridad de oleadas.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
45,Corki,LeBlanc,Graves,Ahri,Brand,Lillia,Naafiri,Heimerdinger,Pyke,Kalista,"En este escenario, con Corki, LeBlanc y Graves frente a Lillia, Naafiri y Heimerdinger, No conviene iniciar peleas largas; es mejor buscar una captura previa y luego convertirla en torre, dragón o Nashor. El foco debe estar en visión oscura antes de Nashor, cuidando posición del tirador.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
46,Ahri,KogMaw,LeeSin,Qiyana,Aatrox,ChoGath,Tryndamere,Hecarim,Seraphine,Sivir,"En este escenario, con Ahri, KogMaw y LeeSin frente a ChoGath, Tryndamere y Hecarim, La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. El foco debe estar en visión oscura antes de Nashor, cuidando ventanas de tempo.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
47,Xayah,Poppy,Mordekaiser,Jayce,Galio,Akshan,Bard,Naafiri,Ornn,XinZhao,"La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. En la práctica, Xayah y Jayce necesitan que Poppy controle los primeros movimientos contra Akshan y XinZhao. La prioridad debería girar alrededor de dragón o Nashor con formación estable.",front-to-back,mid-late,dragón o Nashor con formación estable,bajo,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
48,Lux,LeBlanc,Pyke,Blitzcrank,Kindred,Kayn,Sivir,Galio,Rammus,Malphite,"La composición necesita moverse primero, ganar prioridad de oleadas y llegar antes a las jugadas del mapa. En la práctica, Lux y Blitzcrank necesitan que LeBlanc controle los primeros movimientos contra Kayn y Malphite. La prioridad debería girar alrededor de heraldo, dives y rotaciones tempranas.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",medio,Pierde fuerza si no convierte presión.,V3_implicit_contextual
49,Lillia,Sivir,Rammus,Yasuo,TahmKench,Olaf,LeBlanc,Gwen,Rakan,JarvanIV,"En este escenario, con Lillia, Sivir y Rammus frente a Olaf, LeBlanc y Gwen, El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. El foco debe estar en heraldo, dives y rotaciones tempranas, cuidando zona de dragón.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",alto,Pierde fuerza si no convierte presión.,V3_implicit_contextual
50,Maokai,Anivia,Nidalee,Gwen,Smolder,Ziggs,Caitlyn,AurelionSol,Lux,KaiSa,"El draft aliado mezcla objective control, poke y tempo, mientras el rival amenaza con control mage y scaling. El draft necesita acelerar desde los primeros minutos, invadir con prioridad y castigar antes de que el rival complete objetos clave. La ejecución depende de temporizadores de objetivos.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
51,Yorick,DrMundo,KhaZix,Viktor,Annie,Maokai,Bard,Aatrox,Lillia,Lulu,"El draft aliado mezcla bruiser dive, splitpush y early gank, mientras el rival amenaza con objective control y engage. El draft tiene sentido si todos compran tiempo, bloquean amenazas y permiten que el carry sostenga el daño. La ejecución depende de ventanas de tempo.",protect hypercarry,late,peleas tardías con el carry protegido,alto,Vulnerable a dive y pick comp.,V3_implicit_contextual
52,Nilah,Sejuani,Annie,Nocturne,KogMaw,Brand,Zeri,Pantheon,Olaf,Mel,"La composición aliada se beneficia cuando, con Nilah, Sejuani y Annie frente a Brand, Zeri y Pantheon, No conviene gastar definitivas por separado; el valor real está en sincronizar iniciación y daño sobre varios objetivos. El foco debe estar en peleas agrupadas por dragón o barón, cuidando flancos laterales.",wombo combo,mid,peleas agrupadas por dragón o barón,alto,Depende de cooldowns definitivos.,V3_implicit_contextual
53,Naafiri,Ambessa,Soraka,Talon,KaiSa,Azir,Galio,Sona,Leona,Vex,"La composición aliada se beneficia cuando, con Naafiri, Ambessa y Soraka frente a Azir, Galio y Sona, La frontline debe absorber la primera entrada mientras los carries mantienen daño constante desde una posición segura. El foco debe estar en dragón o Nashor con formación estable, cuidando temporizadores de objetivos.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
54,Varus,Irelia,JarvanIV,Sylas,Trundle,Ziggs,MasterYi,Zyra,BelVeth,Olaf,"La lectura inicial indica que, con Varus, Irelia y JarvanIV frente a Ziggs, MasterYi y Zyra, La pelea se gana si los campeones móviles sincronizan control y daño sobre objetivos frágiles. El foco debe estar en torres exteriores y castigo sobre carries, cuidando frontline disponible.",dive composition,early-mid,torres exteriores y castigo sobre carries,bajo,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
55,Varus,Jinx,Gragas,Brand,BelVeth,KhaZix,Sona,Darius,Zeri,Singed,"El punto clave será que, con Varus, Jinx y Gragas frente a KhaZix, Sona y Darius, El mapa debe jugarse alrededor de temporizadores, visión y rotaciones coordinadas hacia los puntos importantes. El foco debe estar en dragones, heraldo y visión previa, cuidando amenaza sobre carries.",jugar a objetivos,mid,"dragones, heraldo y visión previa",medio,Necesita prioridad previa de líneas.,V3_implicit_contextual
56,Smolder,Mel,Akali,Yone,Caitlyn,Brand,Draven,Garen,Ashe,Ryze,"El draft aliado mezcla hypercarry, capturas previas y control mage, mientras el rival amenaza con poke y pelea ordenada. La composición rinde mejor en peleas ordenadas, con tanques al frente y daño sostenido desde la parte posterior. La ejecución depende de rotaciones limpias.",front-to-back,mid-late,dragón o Nashor con formación estable,bajo,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
57,Evelynn,Kassadin,Gragas,Kayn,Zeri,Kalista,Camille,RekSai,Nocturne,Yuumi,"El draft aliado mezcla early gank, roaming tempo y engage, mientras el rival amenaza con scaling y pelea ordenada. El equipo debe acelerar rotaciones, castigar tiempos muertos del rival y usar cada ventana corta para sacar ventaja. La ejecución depende de control de visión.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",medio,Pierde fuerza si no convierte presión.,V3_implicit_contextual
58,Kled,Poppy,Zac,Lucian,Mel,Fiddlesticks,KaiSa,Syndra,Xayah,Briar,"Con una ejecución ordenada, con Kled, Poppy y Zac frente a Fiddlesticks, KaiSa y Syndra, La composición gana valor cuando puede ocultar visión, esperar errores de posicionamiento y atrapar objetivos aislados. El foco debe estar en visión oscura antes de Nashor, cuidando prioridad de oleadas.",pick composition,mid,visión oscura antes de Nashor,alto,Requiere visión profunda.,V3_implicit_contextual
59,Wukong,Amumu,Orianna,BelVeth,Zac,Taric,Caitlyn,Nocturne,Jinx,Qiyana,"La composición aliada se beneficia cuando, con Wukong, Amumu y Orianna frente a Taric, Caitlyn y Nocturne, La presión viene del alcance y del control de zona, no de iniciar peleas frontales de inmediato. El foco debe estar en torres y zonas neutrales, cuidando amenaza sobre carries.",poke composition,mid,torres y zonas neutrales,medio,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
60,Sylas,XinZhao,Janna,Sivir,Jinx,Gangplank,Fiddlesticks,Fiora,Veigar,AurelionSol,"La composición aliada se beneficia cuando, con Sylas, XinZhao y Janna frente a Gangplank, Fiddlesticks y Fiora, El draft necesita acelerar desde los primeros minutos, invadir con prioridad y castigar antes de que el rival complete objetos clave. El foco debe estar en primer heraldo, placas y presión de río, cuidando temporizadores de objetivos.",agresivo early,early,"primer heraldo, placas y presión de río",medio,No extender partida sin ventaja.,V3_implicit_contextual
